a1,a2,a3,a4,a5,a6,intercept,T,A,B,C
2.58842022780015e-12,6.470199016238451e-10,2.225509693761056e-07,-5.916757749887523e-10,4.715654931437488e-13,-1.1940821047385418e-16,45.77713070589935,121,1.355,0.009,0.0001
2.8942802694101467e-12,7.234748707983377e-10,2.48848676118762e-07,-6.452819415917976e-10,5.086642665967241e-13,-1.2800478918306475e-16,44.72521634235607,121,1.355,0.0105,0.0001
2.793076678016542e-12,6.981772953974535e-10,2.401472375157336e-07,-6.275557284766335e-10,4.964027163976797e-13,-1.2516467486579168e-16,45.07464057741886,121,1.355,0.01,0.0001
5.134787329220416e-12,1.2835280789019878e-09,4.414864476068999e-07,-1.039623582913909e-09,7.819333341129372e-13,-1.9132659870483369e-16,38.683928180667266,121,1.405,0.0095,0.0001
5.0396987544897345e-12,1.2597590565589063e-09,4.3331077490778274e-07,-1.0232431671270766e-09,7.707495064329028e-13,-1.8876338900783437e-16,39.051781071134336,121,1.405,0.009,0.0001
5.320366994451042e-12,1.329916903496518e-09,4.5744250345050863e-07,-1.0715531622345102e-09,8.037108436011601e-13,-1.963133369426272e-16,37.962029150337365,121,1.405,0.0105,0.0001
5.22830958431918e-12,1.3069055727705574e-09,4.495274488739125e-07,-1.055720216112793e-09,7.929152728020521e-13,-1.9384192761914645e-16,38.32077512492259,121,1.405,0.01,0.0001
7.48484595123235e-12,1.8709655919731204e-09,6.435434258637894e-07,-1.4447228702293725e-09,1.0580751367747889e-12,-2.5445594560608867e-16,30.969792981911233,121,1.455,0.0095,0.0001
7.413120372438652e-12,1.8530365511736195e-09,6.37376492340981e-07,-1.4327810044038184e-09,1.0501472112400431e-12,-2.526813852992194e-16,31.304030370090814,121,1.455,0.009,0.0001
7.622144105906724e-12,1.905285624881263e-09,6.553482605741115e-07,-1.4674992836638446e-09,1.0731482062491907e-12,-2.578205016813606e-16,30.31986425876142,121,1.455,0.0105,0.0001
7.554528673646993e-12,1.888383985755934e-09,6.495347155427127e-07,-1.456297319561321e-09,1.0657434274195695e-12,-2.561693055352371e-16,30.64176834577497,121,1.455,0.01,0.0001
9.211739313489554e-12,2.302632265248013e-09,7.920209604425666e-07,-1.7275234858897388e-09,1.242677012369042e-12,-2.951078735936919e-16,23.40048618853824,121,1.505,0.0095,0.0001
9.17548281259298e-12,2.293569329099634e-09,7.889036415626014e-07,-1.7221002789635306e-09,1.239419361818194e-12,-2.9444453159170445e-16,23.65487076650745,121,1.505,0.009,0.0001
9.279473558256304e-12,2.319563605162912e-09,7.978447228434544e-07,-1.7375396117388884e-09,1.2486205156921097e-12,-2.9630244176910504e-16,22.91056501693439,121,1.505,0.0105,0.0001
9.246394462258195e-12,2.3112949159334426e-09,7.950005957945242e-07,-1.7326679877126571e-09,1.2457423829556414e-12,-2.9572670737536863e-16,23.15239907704175,121,1.505,0.01,0.0001
1.0135607251371906e-11,2.53356895557737e-09,8.71454748240405e-07,-1.861682293979606e-09,1.3203163365800163e-12,-3.1023682997417335e-16,17.323114200683285,121,1.555,0.0095,0.0001
1.012774317727675e-11,2.5316031939591645e-09,8.707785971791899e-07,-1.8612826400688113e-09,1.3205593946375731e-12,-3.1038888624186517e-16,17.485701902045037,121,1.555,0.009,0.0001
1.0147946699499986e-11,2.5366534150264106e-09,8.725156914525638e-07,-1.8619039725795851e-09,1.3194386894032403e-12,-3.098434698431923e-16,17.012768635352984,121,1.555,0.0105,0.0001
1.0142337809317155e-11,2.5352513753635144e-09,8.720334400915043e-07,-1.8618889485572239e-09,1.3199426475658244e-12,-3.1005504315667134e-16,17.165491353565272,121,1.555,0.01,0.0001
2.9460144813629157e-12,7.364067405917037e-10,2.5329677876979374e-07,-6.426073230435552e-10,5.008321832517996e-13,-1.2512423915775133e-16,42.70970168534448,131,1.305,0.0095,0.0001
2.8404261693208752e-12,7.100131290421558e-10,2.442183439675809e-07,-6.240622125322959e-10,4.87981524804807e-13,-1.2214404591621945e-16,43.06035764206663,131,1.305,0.009,0.0001
2.875974135599512e-12,7.188989537220083e-10,2.4727474204148753e-07,-6.301908618053774e-10,4.921770098073326e-13,-1.2310885194688106e-16,42.91322054498752,131,1.305,0.009,0.000130
2.9110705416129084e-12,7.276719031596241e-10,2.502923151694294e-07,-6.362406887619221e-10,4.963178999774209e-13,-1.2406096827812146e-16,42.767915770659506,131,1.305,0.009,0.000160
2.945750781874197e-12,7.363408248199141e-10,2.532741065537714e-07,-6.422189737346521e-10,5.004099292609822e-13,-1.2500187020110344e-16,42.624372980369486,131,1.305,0.009,0.000190
2.9799468930524412e-12,7.448887301028155e-10,2.562142727401612e-07,-6.481126669508231e-10,5.044433589377273e-13,-1.2592915716458405e-16,42.48280804091066,131,1.305,0.009,0.000220
3.013698405733489e-12,7.533255003567423e-10,2.591162125499765e-07,-6.539289143256277e-10,5.084231837840243e-13,-1.268439786882935e-16,42.34304079334235,131,1.305,0.009,0.000250
3.0469354414586123e-12,7.616336682604282e-10,2.61973917864427e-07,-6.596559771680781e-10,5.123416568559109e-13,-1.2774463624004668e-16,42.2054403384937,131,1.305,0.009,0.000280
3.0796973839830894e-12,7.69823078460132e-10,2.647907748812934e-07,-6.653004550434441e-10,5.16203072764122e-13,-1.2863204767084115e-16,42.069805929182806,131,1.305,0.009,0.000310
3.1119710335839665e-12,7.778904314576514e-10,2.675656486934275e-07,-6.708606592950041e-10,5.200067762835931e-13,-1.2950619455854072e-16,41.93622009215551,131,1.305,0.009,0.000340
